,date,nav,cash,weights
10,2019-01-15,102639.96150690141,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
11,2019-01-16,103275.88130406098,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
12,2019-01-17,103112.13832720953,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
13,2019-01-18,103981.9190171508,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
14,2019-01-21,103174.6750557872,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
15,2019-01-22,103182.54954656928,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
16,2019-01-23,105312.54558962771,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
17,2019-01-24,105347.1331149801,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
18,2019-01-25,105027.56785588745,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
19,2019-01-28,103897.26030100536,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
