date,nav,cash,weights
2020-01-20,101213.65801164859,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-21,100332.8309932465,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-22,99802.3121151627,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-23,99992.49863641593,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-24,100255.1705808163,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-27,96973.11073923578,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-28,97719.73564171062,0.0,"{'PKO': 0.1650506375355959, 'PKN': 0.1456109734466534, 'PZU': 0.11527576660519447, 'CDR': 0.09580309238874486, 'PEO': 0.08930119760742596, 'KGH': 0.06596083678472556, 'LPP': 0.06093669537814201, 'SPL': 0.052351861551123875, 'CPS': 0.04210661831049766, 'PGE': 0.03631224059541467, 'DNP': 0.03435143902149179, 'MBK': 0.027047398141749886, 'OPL': 0.022953041993283536, 'CCC': 0.016840666716548637, 'ALR': 0.014465037873619625, 'TPE': 0.009761094703855142, 'JSW': 0.005871401345932932}"
2020-01-29,97887.17240639095,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-01-30,97298.9186671261,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-01-31,97945.09908201967,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-03,98095.02971305097,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
