name,ticker,market,sector
Boryszew S.A.,BRS,GPW,Non-energy minerals
BRAS S.A.,BSA,NEWCONNECT,Commercial services
Bridge Solutions Hub S.A.,BSH,NEWCONNECT,Technology services
Brainscan SA,BSN,NEWCONNECT,Technology services
BEST S.A.,BST,GPW,Commercial services
BTC Studios SA,BTC,NEWCONNECT,Technology services
BizTech Konsulting SA,BTK,NEWCONNECT,Technology services
CARLSON INVESTMENTS SE,CAI,NEWCONNECT,Non-energy minerals
Capitea S.A.,CAP,GPW,Commercial services
Inter Cars S.A.,CAR,GPW,Producer manufacturing
Cavatina Holding SA,CAV,GPW,Finance
Cannabis Poland SA,CBD,NEWCONNECT,Health technology
cyber_Folks SA,CBF,GPW,Communications
CCC SA,CCC,GPW,Retail trade
Clean & Carbon Energy SA,CCE,GPW,Energy minerals
Constance Care SA,CCR,NEWCONNECT,Health services
Cyfrowe Centrum Serwisowe SA,CCS,NEWCONNECT,Distribution services
CDA SA,CDA,NEWCONNECT,Technology services
CDRL S.A.,CDL,GPW,Retail trade
CD Projekt S.A.,CDR,GPW,Technology services
Creativeforge Games SA,CFG,NEWCONNECT,Technology services
CFI HOLDING S.A.,CFI,GPW,Consumer services
Centrum Finansowe SA,CFS,NEWCONNECT,Commercial services
Cherrypick Games SA,CHP,NEWCONNECT,Technology services
CI Games S.A.,CIG,GPW,Technology services
CONSOLE LABS Spolka Akcyjna,CLA,NEWCONNECT,Technology services
Columbus Energy SA,CLC,GPW,Utilities
Cloud Technologies SA,CLD,GPW,Technology services
Coal Energy S.A.,CLE,GPW,Energy minerals
Celon Pharma SA,CLN,GPW,Health technology
COMECO S.A. Class D,CMC,NEWCONNECT,Process industries
CM International SA Class BC,CMI,NEWCONNECT,Producer manufacturing
Comp S.A.,CMP,GPW,Technology services
Cognor Holding SA,COG,GPW,Miscellaneous
Corey Europe S.A.,COR,NEWCONNECT,Utilities
Cosma S.A.,COS,NEWCONNECT,Distribution services
Capital Partners S.A.,CPA,GPW,Commercial services
CPD S.A.,CPD,GPW,Finance
Comperia.pl S.A.,CPL,GPW,Technology services
